Entrez_Gene_Id,Hugo_Symbol
79258,MMEL1
5293,PIK3CD
23352,UBR4
2268,FGR
3065,HDAC1
8565,YARS
1600,DAB1
1952,CELSR2
200162,SPAG17
388697,HRNR
10763,NES
339479,BRINP3
7399,USH2A
55105,GPATCH2
2058,EPRS
84288,EFCAB2
391195,OR2T33
127064,OR2T12
9781,RNF144A
8853,ASAP2
1838,DTNB
790,CAD
9577,BRE
63892,THADA
6936,GCFC2
1844,DUSP2
9839,ZEB2
7273,TTN
,C2ORF62
1841,DTYMK
54986,ULK4
9034,CCRL2
9666,DZIP3
545,ATR
84107,ZIC4
79674,VEPH1
83893,SPATA16
1816,DRD5
55276,PGM2
80144,FRAS1
64579,NDST4
171024,SYNPO2
166752,FREM3
7092,TLL1
3818,KLKB1
79844,ZDHHC11
4552,MTRR
1501,CTNND2
7204,TRIO
1008,CDH10
1004,CDH6
84674,CARD6
4724,NDUFS4
11174,ADAMTS6
340120,ANKRD34B
56131,PCDHB4
56104,PCDHGB1
1809,DPYSL3
134265,AFAP1L1
2196,FAT2
255426,RASGEF1C
5601,MAPK9
1769,DNAH8
51069,MRPL2
442213,PTCHD4
7402,UTRN
7432,VIP
4216,MAP3K4
,AC073343.13
1607,DGKB
51678,MPP6
11112,HIBADH
8621,CDK13
908,CCT6A
90827,ZNF479
223117,SEMA3D
340351,AGBL3
5726,TAS2R38
8972,MGAM
28598,TRBV6-9
28558,TRBV29-1
392138,OR2A25
54793,KCTD9
114788,CSMD3
65265,C8ORF33
1289,COL5A1
340811,AKR1CL1
51182,HSPA14
57512,GPR158
57608,KIAA1462
57705,WDFY4
23053,ZSWIM8
6585,SLIT1
8036,SHOC2
256536,TCERG1L
79751,SLC25A22
6786,STIM1
401665,OR51T1
79339,OR51B4
10083,USH1C
5222,PGA5
51475,CABP2
4041,LRP5
51585,PCF11
1740,DLG2
11095,ADAMTS8
60488,MRPS35
120892,LRRK2
1272,CNTN1
55801,IL26
55117,SLC6A15
80184,CEP290
9271,PIWIL1
10631,POSTN
11061,LECT1
4624,MYH6
57697,FANCM
51339,DACT1
23224,SYNE2
161142,FAM71D
8816,DCAF5
57143,ADCK1
7253,TSHR
55775,TDP1
57578,UNC79
53905,DUOX1
22995,CEP152
55466,DNAJA4
7752,ZNF200
54988,ACSM5
10261,IGSF6
23199,GSE1
26073,POLDIP2
55379,LRRC59
23460,ABCA6
79902,NUP85
57674,RNF213
400629,TEX19
9229,DLGAP1
147409,DSG4
5055,SERPINB2
84106,PRAM1
3718,JAK3
7757,ZNF208
84775,ZNF607
339327,ZNF546
64763,ZNF574
10848,PPP1R13L
11133,KPTN
84215,ZNF541
59283,CACNG8
7694,ZNF135
201514,ZNF584
51614,ERGIC3
4987,OPRL1
10587,TXNRD2
4627,MYH9
11078,TRIOBP
171568,POLR3H
5372,PMM1
27127,SMC1B
9620,CELSR1
54456,MOV10L1
795,S100G
7102,TSPAN7
27112,FAM155B
79983,POF1B
56062,KLHL4
8471,IRS4
10178,TENM1
7750,ZMYM2
440275,EIF2AK4
56998,CTNNBIP1
842,CASP9
149461,CLDN19
58511,DNASE2B
6097,RORC
9909,DENND4B
6708,SPTA1
23385,NCSTN
3797,KIF3C
51449,PCYOX1
151,ADRA2B
84269,CHCHD5
129684,CNTNAP5
491,ATP2B2
23225,NUP210
1582,CYP8B1
9136,RRP9
3700,ITIH4
23150,FRMD4B
868,CBLB
55669,MFN1
1608,DGKG
6389,SDHA
729,C6
643394,SPINK9
91522,COL23A1
1832,DSP
780,DDR1
394263,MUC21
1590,CYP21A1P
2115,ETV1
9844,ELMO1
353345,GPR141
1956,EGFR
27445,PCLO
799,CALCR
1551,CYP3A7
27153,ZNF777
116988,AGAP3
4342,MOS
642475,MROH6
340385,ZNF517
3467,IFNW1
22844,FRMPD1
23560,GTPBP4
118788,PIK3AP1
439915,KRTAP5-5
390167,OR5M10
747,DAGLA
345,APOC3
170689,ADAMTS15
1108,CHD4
144568,A2ML1
2904,GRIN2B
6579,SLCO1A2
3489,IGFBP6
5153,PDE1B
6049,RNF6
55195,C14ORF105
9517,SPTLC2
55051,NRDE2
79890,RIN3
,RP11-24M17.5
9093,DNAJA3
64131,XYLT1
124274,GPR139
3687,ITGAX
8824,CES2
146206,RLTPR
11105,PRDM7
4620,MYH2
4621,MYH3
9931,HELZ
146705,ENTHD2
898,CCNE1
10054,UBA2
282616,IFNL2
7596,ZNF45
57479,PRR12
59284,CACNG7
10288,LILRB2
