gene_id,Entrez_Gene_Id,Hugo_Symbol
33923,,A3GALT2
34626,,AAED1
33629,,AAGAB
35857,,AAMDC
34456,,AANAT
34243,,AARSD1
34280,,AATK
18007,,AB019440.50
4136,,ABC7-42389800N19.1
33025,,ABCB9
36608,,ABCD3
34429,,ABHD12
35132,,ABHD14A
33573,,ABHD14B
35076,,ABHD17C
34421,,ABHD18
34553,,ABRACL
33263,,ABRAXAS1
33752,,ABRAXAS2
9360,,AC002472.13
12150,,AC002511.2
18177,,AC002539.2
13065,,AC003101.1
10179,,AC004014.3
18219,,AC004129.7
9208,,AC004158.2
7979,,AC004166.6
11428,,AC004381.6
13099,,AC004673.1
13389,,AC004840.9
14580,,AC004870.3
9552,,AC004870.5
10890,,AC004901.1
14733,,AC004987.9
9548,,AC005017.2
18309,,AC005041.11
11920,,AC005077.7
13466,,AC005255.6
17015,,AC005562.1
2947,,AC005863.1
16276,,AC006001.1
11899,,AC006023.8
13296,,AC006024.4
7088,,AC006026.10
9337,,AC006159.3
17672,,AC006322.1
15168,,AC006380.1
18509,,AC006432.1
12231,,AC006455.1
18182,,AC006548.26
10773,,AC007000.12
10163,,AC007131.2
17949,,AC007163.6
17641,,AC007238.1
18258,,AC007248.7
15144,,AC007277.3
10880,,AC007317.1
5039,,AC007318.5
10989,,AC007319.1
13056,,AC007353.1
14695,,AC007358.1
5152,,AC007364.1
17429,,AC007402.1
14333,,AC007405.6
11105,,AC007879.6
15493,,AC007881.4
7471,,AC007952.5
11411,,AC007969.5
16284,,AC008060.7
9817,,AC008079.9
17829,,AC008132.1
18066,,AC008132.13
13300,,AC008155.2
16064,,AC008163.4
10007,,AC008265.2
16648,,AC008268.2
18586,,AC008271.1
10554,,AC008278.3
15158,,AC008394.1
17664,,AC008410.1
13213,,AC008746.9
15755,,AC008747.1
16652,,AC008836.1
15834,,AC009014.3
17034,,AC009120.4
18248,,AC009120.8
17755,,AC009159.1
10654,,AC009312.1
13546,,AC009365.3
10761,,AC009403.2
13164,,AC009517.2
10374,,AC009784.3
18190,,AC009878.2
9561,,AC010091.1
17648,,AC010127.3
18089,,AC010150.2
16578,,AC010376.1
18340,,AC010455.1
16895,,AC010492.4
10233,,AC010546.1
17826,,AC010642.1
12930,,AC010731.4
14202,,AC010733.7
13495,,AC010739.1
11382,,AC010874.1
11897,,AC010976.2
5042,,AC010982.1
11011,,AC011288.2
10144,,AC011718.2
11083,,AC011747.6
18158,,AC012309.5
15342,,AC012317.1
18325,,AC012414.1
18467,,AC013248.2
10099,,AC013394.2
10121,,AC015818.3
18481,,AC016194.1
8086,,AC016251.1
14642,,AC016582.2
3245,,AC016700.4
9342,,AC016708.2
13995,,AC016734.2
9842,,AC016735.2
18372,,AC016737.1
10922,,AC016739.2
15286,,AC016757.3
9582,,AC016885.1
3912,,AC017083.3
18451,,AC018638.1
3550,,AC018720.10
16892,,AC018755.16
16746,,AC018804.6
14858,,AC018865.5
12873,,AC021218.2
4841,,AC022182.2
15585,,AC022210.2
9977,,AC022431.2
11937,,AC022596.2
8425,,AC023469.1
15351,,AC023490.2
9859,,AC024084.1
16190,,AC024132.1
9967,,AC024560.3
17754,,AC025287.1
17877,,AC025627.9
13197,,AC026150.5
18423,,AC026700.1
12629,,AC026797.1
18283,,AC027269.2
7887,,AC027612.3
12212,,AC027612.4
14001,,AC027612.6
11029,,AC027763.2
18457,,AC034198.7
14843,,AC034228.7
8087,,AC055873.1
5064,,AC060834.2
9840,,AC067959.1
17944,,AC068279.3
8168,,AC068538.2
13702,,AC069067.1
10214,,AC069213.1
10884,,AC069277.2
10650,,AC073218.1
10985,,AC073218.2
13166,,AC073236.3
14553,,AC073283.4
3555,,AC073310.4
69,,AC073343.13
7889,,AC073464.11
14203,,AC073464.7
18461,,AC073648.1
10402,,AC073869.1
18480,,AC073869.2
9443,,AC073869.20
11505,,AC074051.1
10135,,AC074212.3
10370,,AC074363.1
10822,,AC074391.1
17226,,AC074391.2
3426,,AC078899.1
9187,,AC078941.1
10988,,AC079305.11
12182,,AC079325.6
3498,,AC079354.1
5387,,AC079612.1
13692,,AC079776.6
18149,,AC079780.3
18131,,AC079834.1
14556,,AC079922.2
11192,,AC083873.4
4774,,AC083899.3
10882,,AC084193.1
18551,,AC084262.1
18092,,AC090573.1
18091,,AC091705.2
18385,,AC091736.1
17454,,AC092155.1
10651,,AC092155.4
16359,,AC092329.1
10984,,AC092594.1
18352,,AC092646.1
9436,,AC092651.1
12592,,AC092653.5
2625,,AC092675.3
18120,,AC092925.1
17001,,AC093616.4
11441,,AC093698.2
11679,,AC093802.1
9934,,AC093838.4
18311,,AC095061.1
10649,,AC096559.1
16752,,AC096574.4
6369,,AC096579.13
14734,,AC096582.8
7689,,AC096649.3
9929,,AC097374.2
17943,,AC098817.5
7688,,AC098826.4
7541,,AC099552.4
17645,,AC103563.2
18429,,AC103564.6
18380,,AC103564.7
14204,,AC104306.1
18199,,AC104441.1
15445,,AC104654.1
13153,,AC104809.3
18431,,AC104809.4
17121,,AC105339.2
18169,,AC105342.1
18606,,AC106795.1
17379,,AC106860.1
18577,,AC107083.1
16417,,AC107982.4
13658,,AC108142.1
18297,,AC108696.1
18507,,AC109351.1
12353,,AC109829.1
15913,,AC110769.1
18440,,AC112693.1
15915,,AC112715.2
14562,,AC112721.1
10991,,AC112721.2
18197,,AC113607.2
11527,,AC114755.5
9068,,AC114755.7
7886,,AC116050.1
4945,,AC116553.1
18458,,AC116562.1
16249,,AC117444.1
18422,,AC118282.1
4328,,AC118345.2
18393,,AC121157.1
16562,,AC126365.1
18208,,AC128653.1
18312,,AC131094.1
10482,,AC131097.3
17996,,AC131213.1
12999,,AC134698.1
18192,,AC135776.1
13831,,AC136604.1
16644,,AC138761.1
18615,,AC138783.11
6668,,AC140481.2
34392,,ACAA2
34754,,ACAP2
35056,,ACBD6
34541,,ACBD7
35148,,ACER3
34466,,ACKR1
34745,,ACOD1
34666,,ACOT13
33094,,ACOT4
34948,,ACOT6
34047,,ACP4
34535,,ACP5
33987,,ACP7
11685,,ACPL2
34313,,ACSM6
35454,,ACTL6A
35995,,ACTR6
35010,,ACYP1
36645,,ADA2
33803,,ADAM20
34079,,ADAM28
16857,,ADAMTS7P2
34552,,ADAT3
3219,,ADC
35678,,ADCYAP1
35882,,ADGRA2
36210,,ADGRA3
35505,,ADGRB1
33993,,ADGRB2
34752,,ADGRB3
34412,,ADGRD1
33986,,ADGRD2
35289,,ADGRE1
34893,,ADGRE2
36714,,ADGRE3
33618,,ADGRE5
35891,,ADGRF1
35475,,ADGRF2
34998,,ADGRF3
35218,,ADGRF4
34797,,ADGRF5
32802,,ADGRG1
33963,,ADGRG2
36530,,ADGRG3
36309,,ADGRG4
35104,,ADGRG5
34316,,ADGRG6
35635,,ADGRG7
36584,,ADGRL4
33797,,ADGRV1
35433,,ADHFE1
35809,,ADIG
35597,,ADIRF
36098,,ADK
35206,,ADM2
34119,,ADORA2B
32877,,ADPRM
34405,,ADRB1
34681,,ADRB2
36066,,ADRM1
35907,,AEN
33386,,AES
10909,,AF096876.1
14184,,AF165138.7
14357,,AF213884.1
15008,,AF228730.1
33387,,AFAP1L2
34357,,AFG1L
12347,,AGAP7
17691,,AGAP8
35966,,AGAP9
35567,,AGBL5
34638,,AGMAT
36105,,AGPAT1
33673,,AGPAT5
34019,,AGR3
34595,,AGTRAP
32770,,AHSP
35016,,AIF1L
33498,,AIPL1
18413,,AJ239321.3
14961,,AJ239322.1
33256,,AJM1
35911,,AJUBA
36702,,AK1
35865,,AK2
35092,,AK6
33212,,AKAIN1
36412,,AKAP1
32872,,AKAP7
34488,,AKIP1
36058,,AKIRIN1
35909,,AKIRIN2
36396,,AKR1C3
35813,,AKR1E2
15182,,AL022344.4
11786,,AL033381.1
12271,,AL035088.1
10512,,AL035610.2
18402,,AL049798.1
18088,,AL049831.1
18591,,AL121819.1
18357,,AL132819.1
18468,,AL135784.1
8983,,AL136160.1
18263,,AL136302.1
18115,,AL136987.1
18409,,AL137118.1
12143,,AL139812.1
18313,,AL157884.1
15943,,AL158091.1
18093,,AL161908.1
18538,,AL163952.2
18581,,AL353707.1
11322,,AL353997.4
12741,,AL354775.1
14245,,AL354984.2
9232,,AL355390.1
10315,,AL359853.1
11211,,AL359878.1
16321,,AL390335.1
11379,,AL445258.1
16115,,AL445384.1
14887,,AL450307.1
15489,,AL583842.1
18420,,AL589743.1
11784,,AL590483.1
18362,,AL590762.6
17856,,AL590874.1
18394,,AL591034.1
12585,,AL592063.1
18356,,AL592205.1
15386,,AL603965.1
3483,,AL626787.1
14889,,AL645944.1
18143,,AL646016.1
10832,,AL662890.1
36426,,ALG14
33995,,ALKAL1
35095,,ALKAL2
35434,,ALKBH2
33584,,ALKBH6
35616,,ALKBH7
33090,,ALOX5AP
35117,,ALPG
36461,,ALYREF
34484,,AMBN
33609,,AMDHD1
36093,,AMDHD2
35598,,AMY1B
33488,,AMZ2
35074,,ANAPC10
36208,,ANAPC13
33465,,ANG
35783,,ANGPT2
34723,,ANGPT4
34498,,ANGPTL8
34395,,ANKRA2
33742,,ANKRD10
34409,,ANKRD20A2
36096,,ANKRD23
35724,,ANKRD29
34545,,ANKRD39
34482,,ANKRD40
32897,,ANKRD40CL
34975,,ANKRD49
32830,,ANKRD53
32797,,ANKRD63
33587,,ANKRD65
34784,,ANKRD9
33325,,ANO10
34469,,ANOS1
35757,,ANP32D
33625,,ANXA1
34442,,ANXA2
9285,,AP000235.2
17331,,AP000322.53
18438,,AP000344.3
9821,,AP000345.1
1630,,AP000350.4
15113,,AP000362.1
15422,,AP000445.2
13941,,AP000525.9
18466,,AP000619.5
18160,,AP000997.1
18081,,AP001187.1
11038,,AP001597.1
17111,,AP001631.10
18140,,AP002364.1
13581,,AP002387.1
15708,,AP002806.1
10282,,AP002884.1
10284,,AP002954.4
8118,,AP005901.1
11244,,AP006216.11
34300,,AP2S1
35618,,AP4B1
34585,,AP4E1
33530,,AP5M1
33314,,APELA
34151,,APH1B
35021,,APOA2
36463,,APOBEC1
34150,,APOBEC2
34864,,APOBEC3C
34519,,APOBEC3H
33441,,APOC4
34361,,APOLD1
36413,,APOM
36541,,APOO
36145,,APOPT1
34847,,AQP2
34674,,AQP4
34741,,AQP5
12965,,AQPEP
17456,,AREGB
33321,,ARF3
34142,,ARF6
33716,,ARFGEF3
36147,,ARG1
34100,,ARHGAP45
33756,,ARHGAP8
33860,,ARHGEF35
35072,,ARHGEF39
34826,,ARID3C
36177,,ARIH2OS
34503,,ARL14
34974,,ARL14EPL
33376,,ARL16
33562,,ARL17A
33464,,ARL17B
35380,,ARL2BP
34059,,ARL5A
35174,,ARL6IP4
35584,,ARL6IP5
35952,,ARL8A
34477,,ARMC12
34287,,ARMCX1
35435,,ARMH1
34753,,ARMH2
35537,,ARMH3
36475,,ARMH4
35673,,ARMS2
33694,,ARMT1
36283,,ARPC3
34940,,ARPC4
35067,,ARPC5L
33772,,ARPIN
36675,,ARPP19
33110,,ARRB1
34414,,ARRDC4
36172,,ARRDC5
34919,,ARSB
35925,,ARSD
34074,,ARV1
36620,,ARVCF
33213,,ASAH2B
35741,,ASB13
36303,,ASB18
33670,,ASB3
34034,,ASB6
33268,,ASCL3
33093,,ASCL5
35280,,ASF1A
35038,,ASF1B
33357,,ASGR1
35259,,ASPHD1
36386,,ATF5
36643,,ATG10
36090,,ATG101
36168,,ATG12
36153,,ATG14
33635,,ATG4D
34402,,ATMIN
36113,,ATOH7
33914,,ATP1B1
34308,,ATP23
33834,,ATP5F1A
33698,,ATP5F1B
36715,,ATP5F1C
35023,,ATP5F1D
35704,,ATP5F1E
35914,,ATP5IF1
36240,,ATP5MC1
35924,,ATP5MC2
32908,,ATP5MC3
33037,,ATP5MD
35141,,ATP5ME
36041,,ATP5MF
36194,,ATP5MG
33917,,ATP5MGL
33952,,ATP5MPL
35131,,ATP5PB
36566,,ATP5PD
33862,,ATP5PF
36195,,ATP5PO
34591,,ATP6V0B
34628,,ATP6V1D
32984,,ATP6V1E2
34936,,ATP6V1FNB
36585,,ATP6V1G2
34889,,ATPAF2
35662,,AUH
34946,,AUNIP
33080,,AURKAIP1
35276,,AVP
36597,,AVPI1
10440,,AZI1
34051,,AZIN2
33509,,B3GLCT
33873,,B3GNT2
32780,,B3GNT5
36494,,B3GNT6
36706,,B3GNT7
35282,,B3GNT8
36277,,B3GNT9
35619,,B4GALT3
34491,,B4GALT7
33193,,B4GAT1
35383,,B9D1
36484,,B9D2
35993,,BABAM1
33269,,BABAM2
36036,,BAMBI
32909,,BANF1
36688,,BANF2
35450,,BARHL1
34463,,BATF3
35305,,BAX
33112,,BBC3
34350,,BBIP1
33448,,BBOF1
33877,,BBS10
34426,,BCAP31
35876,,BCAS4
36723,,BCDIN3D
34368,,BCKDHA
34713,,BCL10
36647,,BCL2L1
35250,,BCL2L10
35979,,BCL2L14
36131,,BCL7A
33096,,BCL7B
33483,,BCLAF3
8746,,BCMO1
35583,,BCO1
34291,,BDH1
33634,,BDH2
33379,,BDKRB2
35945,,BECN2
35370,,BEND5
35672,,BEND7
33593,,BEST4
35938,,BET1L
33047,,BEX2
34569,,BEX3
35494,,BEX5
33815,,BHLHA15
33971,,BHLHA9
34544,,BHLHE41
35231,,BHMG1
32854,,BICDL1
33692,,BICDL2
35972,,BICRA
35986,,BICRAL
32901,,BIK
34168,,BIN3
35763,,BIRC2
33801,,BIVM
34169,,BLCAP
36154,,BLOC1S5
34012,,BLVRB
36473,,BMF
34572,,BMP8B
13182,,BMS1P5
33427,,BMT2
35269,,BNIPL
36088,,BOLA1
36367,,BOLA2
35987,,BOLA2B
33462,,BORCS5
35679,,BORCS6
32946,,BORCS7
35649,,BORCS8
34883,,BPGM
36489,,BPIFA2
33651,,BPY2
35476,,BPY2B
35578,,BPY2C
33836,,BRD3OS
35697,,BRI3
35437,,BRICD5
34794,,BRIX1
35493,,BRMS1L
34561,,BSCL2
35318,,BST2
33245,,BTBD10
34501,,BTBD17
35216,,BTBD3
33097,,BTG3
32876,,BTG4
36333,,BUD23
17816,,BX088645.3
16802,,BX088651.1
16908,,BX842568.4
33696,,BZW1
36254,,C10ORF105
6970,,C10ORF118
35700,,C10ORF143
4082,,C10ORF68
35815,,C10ORF88
34768,,C10ORF99
33846,,C11ORF16
9167,,C11ORF35
33560,,C11ORF42
35703,,C11ORF45
35480,,C11ORF49
35691,,C11ORF58
36392,,C11ORF68
17067,,C11ORF82
34219,,C11ORF91
33827,,C11ORF94
34394,,C11ORF95
34521,,C11ORF97
10795,,C12ORF23
8054,,C12ORF39
34027,,C12ORF42
32902,,C12ORF45
34684,,C12ORF49
5616,,C12ORF55
36567,,C12ORF73
36696,,C13ORF42
33233,,C14ORF132
33893,,C14ORF178
34929,,C14ORF180
35622,,C14ORF93
36032,,C15ORF40
33234,,C15ORF65
13909,,C16ORF11
14360,,C16ORF80
35947,,C16ORF86
36047,,C16ORF89
16535,,C17ORF103
36609,,C17ORF107
36705,,C17ORF113
35189,,C17ORF58
5093,,C17ORF66
32823,,C17ORF67
35688,,C17ORF99
35595,,C18ORF21
