gene_id,Sample_Id,mRNA_expression
2198,93,1.6911
1211,93,-0.5109
5430,93,2.1941
5623,93,-1.2813
1913,93,-0.7882
100,93,-1.0477
883,93,-0.6738
2374,93,-0.9157
394,93,0.5072
170,93,0.6118
1802,93,-0.6554
2831,93,-1.2631
3223,93,-1.8487
1104,93,2.4103
716,93,1.0799
8202,93,0.7349
300,93,-0.6869
4840,93,0.5627
2038,93,1.2467
49,93,0.553
196,93,-1.001
50,93,-1.1595
1885,93,0.963
13,93,1.7609
403,93,-1.3666
1820,93,-1.3838
1792,93,1.4948
2615,93,1.1851
7967,93,-1.599
4898,93,-2.0063
198,93,-0.6388
8462,93,1.6374
2101,93,1.233
3703,93,-1.2518
580,93,-0.6135
2617,93,-0.6815
1185,93,-1.2978
1281,93,1.4325
4147,93,0.6694
349,93,1.1501
3488,93,1.6565
4228,93,2.3245
1392,93,-2.3823
908,93,-0.7598
7169,93,1.7425
7350,93,-0.8343
1338,93,0.5704
3767,93,-1.782
1233,93,-0.9938
1036,93,0.5546
7657,93,1.2565
162,93,-1.6995
2085,93,-1.2497
316,93,-1.5258
559,93,-0.9179
2347,93,-3.2719
3499,93,3.2206
4025,93,1.1124
4336,93,0.9417
857,93,0.6324
518,93,-1.5841
1252,93,-0.6679
404,93,0.791
1199,93,0.6147
939,93,0.6847
4197,93,-1.6958
5680,93,-0.9482
4546,93,0.5121
2061,93,1.6177
2181,93,-0.5181
2866,93,0.9635
5071,93,0.7713
11481,93,0.5366
1386,93,0.7981
22,93,1.0797
4831,93,-0.8587
60,93,0.9751
5369,93,-1.027
7238,93,1.1948
1807,93,0.5034
557,93,1.7344
2706,93,-0.6807
886,93,-1.5102
5609,93,1.05
3080,93,2.3593
11603,93,-0.6435
1836,93,-0.669
4270,93,-1.8852
158,93,-0.9408
157,93,-1.1987
5971,93,-2.2911
5005,93,-2.7006
1035,93,2.8213
3168,93,0.7877
1068,93,0.7491
168,93,1.5102
1083,93,2.1524
791,93,-0.6276
1509,93,0.5125
2851,93,0.8352
2350,93,0.7694
2554,93,-0.7692
3146,93,0.8057
3557,93,-1.1542
3332,93,1.7447
1821,93,3.1282
2730,93,0.9777
4504,93,0.6522
983,93,0.8061
962,93,1.0045
